System Time,Fused Latitude,Fused Longitude,Fused Accuracy,GPS Latitude,GPS Longitude,GPS Accuracy,NET Latitude,NET Longitude,NET Accuracy,Pass Latitude,Pass Longitude,Pass Accuracy
1079,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
898,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
1296,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
1226,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
1134,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
919,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
913,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
1397,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
1346,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
1627,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
35,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
35,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
18,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
35,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
39,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
37,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
38,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
43,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
56,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
24,42.102694,-88.05796,15.032,42.102765,-88.057861,18.224001,42.102694,-88.05796,13.884,42.102694,-88.05796,13.884
